Product_Code,Product_code_Title,Supplier_Count,Number_of_Searches
1.11.11,Petrol,7,378
1.11.14,Insulating Oils,15,1609
1.11.16,Paraffin,4,732
1.11.17,Heating Oils,12,513
1.11.18,Fuel Oil,22,1787
1.11.19,Hydraulic Fluids,28,997
1.11.24,Greases,34,1209
1.11.25,Biodegradable Oils,14,452
1.11.26,Fuel Additives,7,257
1.11.27,Mains Water (Potable),27,726
1.11.28,Alternative/Emergency Water Supplies,32,1066
1.11.29,Additives and corrosion inhibitors,9,534
1.11.31,Additives for polymers,1,473
1.11.99,"Other Energy, Oils & Fuels",15,404
1.12.1,Propane,8,1130
1.12.2,Butane,3,847
1.12.3,Oxygen,7,1236
1.12.4,Nitrogen,13,1175
1.12.5,Carbon Dioxide,4,1295
1.12.6,Sulphur Dioxide,5,1255
1.12.7,Sulphur Hexafluoride,4,725
1.12.8,Argon Free Oxygen,3,715
1.12.9,Hydrogen,3,1170
1.12.10,Methane,1,683
1.12.11,Acetylene,5,724
1.12.15,Argon,3,677
1.12.16,Argonshield,0,629
1.12.17,Oxygen Free Nitrogen,4,666
1.12.99,Other Industrial Gases,5,783
1.51.2,Wheelsets & Components (Rolling Stock),1,429
1.51.3,Bearings (Rolling Stock),4,517
1.51.4,Brake Equipment (Rolling Stock),0,472
1.51.5,Brake Blocks (Rolling Stock),0,462
1.51.6,Brake Discs & Pads (Rolling Stock),0,442
1.51.7,"Brake Hoses, Pipes & Fittings (Rolling Stock)",1,754
1.51.8,Buffers (Rolling Stock),1,431
1.51.9,Drawgear (Heavy Drop Forgings),0,420
1.51.10,Diesel Engines & Power Units (Rolling Stock),6,441
1.51.11,Cylinder Heads & Liners (Rolling Stock),1,416
1.51.12,Turbochargers (Rolling Stock),3,411
1.51.13,Fuel Pumps & Fuel Injection (Rolling Stock),2,492
1.51.14,Filters (Rolling Stock),3,425
1.51.15,Transmission/Gearbox Spares (Rolling Stock),4,520
1.51.16,Suspension Equipment (Rolling Stock),0,400
1.51.17,Pneumatic Equipment (Rolling Stock),2,422
1.51.19,Rolling Stock,1,392
1.51.99,Other Rolling Stock Equipment - Mechanical,2,317
1.52.1,Electrical Rotating Machines (Rolling Stock),1,114
1.52.2,Carbon Brushes (Rolling Stock),2,109
1.52.3,Train Cells & Batteries,2,140
1.52.4,Lighting Equipment (Rolling Stock),6,197
1.52.5,Electrical Components (Rolling Stock),7,240
1.52.6,Control & Instrumentation Equipment (Rolling Stock),8,138
1.52.7,Pantographs/Shoegear & Components (Rolling Stock),2,104
1.52.8,Train-borne Communication Equipment,0,96
1.52.10,Passenger Counting Systems,2,94
1.52.11,Train Signalling & Control Equipment,4,102
1.52.12,Cable Harnesses (Rolling Stock),3,112
1.52.13,Passenger Information Systems,2,116
1.52.99,Other Rolling Stock Equipment - Electrical,3,28
1.53.2,Heating Equipment (Rail Interior),2,85
1.53.3,Door Locks (Rail Interior),1,81
1.53.5,Windows & Glazing (Rail Interior),1,112
1.53.6,Seats & Interior Fittings (Rail Interior),1,70
1.53.8,Vending Machines (Rail Interior),0,47
1.53.9,Ticket Machines (Rail Interior),0,62
1.53.10,Video Display Equipment/CCTV (Rail Interior),4,98
1.53.11,Fire Fighting Equipment (Rail Interior),0,77
1.53.12,Commercial Advertising Equipment (Rail Interior),1,56
1.53.99,Other Rolling Stock Equipment - Interior,0,1
1.54.1,Rail Sleepers - Concrete,3,79
1.54.2,Rail Sleepers - Timber,7,58
1.54.5,Rail Fasteners,7,69
1.54.6,Rail Insulators,4,47
1.54.7,Track Welding Materials,0,77
1.54.8,Track Warning/Safety Equipment,2,60
1.54.9,Rail Lubricants,6,98
1.54.10,Concrete Products - Rail Supply,6,62
1.54.11,Rail Tunnel Doors,2,39
1.54.12,Railway Detonators (inc disposal),0,50
1.54.99,Other Railway Materials,7,1
1.55.1,Points Heating Equipment,7,58
1.55.2,Railway Switches & Crossings,1,39
1.55.3,Level Crossing Equipment,1,75
1.55.4,Cable Troughing (Rail),3,101
1.55.5,Railway Tools,9,73
1.55.6,Track Welding Equipment,0,26
1.55.9,Rail Lifting & Jacking Systems,1,87
1.55.10,Buffer Stops (Rail),1,65
1.55.11,Overhead Line Equipment,12,156
1.55.13,Permanent Way Castings,1,69
1.55.14,Rail Bonding Systems,1,59
1.55.15,Permanent Way Trolleys,1,77
1.55.16,Condition Monitoring Products (Rail),5,56
1.55.17,Track Cleaning Equipment,0,53
1.55.99,Other Railway Equipment - Permanent Way,3,40
1.56.1,Signalling Cable,4,47
1.56.2,Signalling Tools,2,54
1.56.4,Signalling Lamps,0,48
1.56.5,Signalling Relays,1,60
1.56.99,Other Railway Equipment - Signalling & Telecommunications,13,47
1.57.1,Locks & Depositories (Station),3,42
1.57.2,Luggage Lockers (Station),1,35
1.57.3,Passenger Self Help Trolleys (Station),0,30
1.57.4,Platform Canopies & Covered Ways,4,29
1.57.5,Platform Furniture & Seating,4,26
1.57.7,Staff Clothing Lockers (Station),6,26
1.57.8,Wheelchair Access Ramps (Station),2,22
1.57.9,Station Clock Systems,0,26
1.57.10,Customer Information Systems (Station),4,44
1.57.11,Ticket Vending Machines (Station),1,16
1.57.99,Other Station Equipment,3,13
1.60.1,Airport specific information systems,7,171
1.60.2,Flight Information Displays (FIDS) (Screens with flight and gate information),2,88
1.60.4,Baggage Handling Systems (Insourced/Outsourced),9,173
1.60.5,Passenger Queue Measurement Systems,6,68
1.61.1,Baggage transportation equipment,5,79
1.61.2,Baggage classification equipment,6,61
1.62.1,"Communication systems (VHF-YHF, Tetra Systems)",7,99
1.62.2,Radars and surveillance systems,3,86
1.62.3,"Air navigation systems: ILS (Instrumental Landing Systems), NDB, VOR",2,75
1.62.4,"Meteorological equipment: IRVR Transmission meters, AMOs/RAMOS/SAMOS/FAMOS",0,229
1.63.1,Firefighting vehicles - airside,5,146
2.1.1,Hardware Services,98,6343
2.1.2,Software Development Services,275,10982
2.1.3,Software Support Services,221,9189
2.1.4,IT Training,72,1683
2.1.6,Facilities Management Services - IT,50,3133
2.1.7,Recruitment Services - IT,83,2414
2.1.8,Telecommunication Network Services,108,4351
2.1.10,Data Collection & Handling Services,208,5520
2.1.11,IT Network Services,114,3225
2.1.12,Internet/Intranet Services,84,1915
2.1.13,Telecommunication Equipment Associated Services,143,2946
2.1.14,Call Centre Services,97,2837
2.1.15,E-commerce Services,45,564
2.1.16,Escrow Services,4,114
2.1.17,IT Disaster Recovery Services,69,1203
2.1.98,Other Computer Services,78,2164
2.1.99,"Other Telecommunication Services (excl. Line Construction, Maintenance & Repair)",56,559
2.2.2,Financial Consultancy,50,2859
2.2.4,Change Management Consultancy,165,5256
2.2.5,Energy Management Consultancy,153,2333
2.2.6,Estates & Property Consultancy,93,3357
2.2.7,Health & Safety Consultancy,197,2470
2.2.8,Procurement & Materials Management Consultancy,88,2840
2.2.10,Security Consultancy,127,2541
2.2.11,Telecommunications/Telemetry Consultancy,109,1107
2.2.13,Quality Assurance Consultancy,81,2774
2.2.14,Personnel/Human Resources Consultancy,76,2345
2.2.16,Retail Consultancy,22,337
2.2.17,E-commerce Consultancy,47,665
2.2.18,Corporate Planning & Strategy Consulting,103,2613
2.2.19,Facilities Management Consultancy,46,946
2.2.20,Marketing & Advertising Consultancy,77,1473
2.2.21,International trade consultancy,6,272
2.2.22,Risk Management Consultancy,188,2858
2.2.24,Sports & Recreational Consultancy,18,200
2.2.26,Insurance Consultancy,9,555
2.2.27,Corporate Social Responsibility Consultancy,16,1193
2.2.28,Administrative consultancy,8,197
2.2.29,Community Relations Consultancy,23,792
2.2.30,Public Consultation Consultancy,33,982
2.2.31,Tree Consultancy,53,350
2.2.99,Other Consultancy,175,1815
2.3.1,Banking Services,13,512
2.3.2,Insurance Services,10,1251
2.3.3,Pension Funding Services,4,482
2.3.5,Cash Collection Services,27,848
2.3.6,Accountancy Services,10,441
2.3.7,Shareholder Services,5,185
2.3.8,Financial Audit Services,27,1447
2.3.9,Debt Collection Services,56,3185
2.3.10,Claims Management Services,31,722
2.3.11,Licensing Services,5,148
2.3.14,Credit/Procurement Card Services,4,68
2.3.15,Royalty & Copyright Services,0,166
2.3.16,Legal Services,49,770
2.3.17,Insurance Brokerage,9,1022
2.3.99,"Other Financial, Accountancy & Legal Services",33,270
2.4.1,Travel Agency Services,18,1199
2.4.2,Hotel/Accommodation Services,20,935
2.4.3,Catering Services (Offsite).,9,526
2.4.4,Conference/Event Management Services,41,1058
2.4.99,Other Hotel & Travel Services,19,555
2.5.2,Scrap Disposal Services,64,1942
2.5.3,Refuse/General Waste Disposal Services,47,3962
2.5.4,Sanitation Services,22,1025
2.5.5,Vermin Control Services,24,734
2.5.6,Hazardous Material Handling/Treatment/Disposal Services (incl. Asbestos),219,6929
2.5.8,Decontamination/Pollution Control Services,87,1885
2.5.9,Cable Drum Disposal & Recycling Services,13,359
2.5.10,Recycling Services,106,4035
2.5.11,Waste Skip Hire,71,3602
2.5.12,Waste Management Services,150,5892
2.5.13,Confidential Waste Disposal Services,18,1430
2.5.14,Road Sweeping Services,14,561
2.5.15,City cleaning services,2,206
2.5.16,Graffiti Removal & Protection Services,21,116
2.5.99,Other Disposal Services,68,1174
2.6.2,Photographic Services,43,1757
2.6.4,Public Relations Services,21,950
2.6.5,Recruitment Services (Temporary),164,2473
2.6.6,Training & Education Services – Personnel Related,139,2063
2.6.7,Training & Education Services – Functional,241,1905
2.6.8,Occupational Health Services,39,1606
2.6.9,Recreational activities and fitness,3,127
2.6.14,Market Research Services,43,1922
2.6.15,Postal & Mailing Services,35,2121
2.6.16,Real Estate Services,49,1888
2.6.20,Meteorological Services,23,221
2.6.21,Business Intelligence Services,42,740
2.6.22,Technical/Procedural Writing Services,20,140
2.6.26,Wayleave Services,52,1881
2.6.27,Promotional/Corporate Goods,17,454
2.6.28,Graphic & Media Design Services,103,1661
2.6.29,Personnel/Human Resources Services,46,1177
2.6.31,Marketing & Advertising Services,64,1251
2.6.32,Audit Services,90,1433
2.6.33,Product certification,8,79
2.6.35,Plastic Card Fulfilment Services,11,99
2.6.37,Musical Instruments Maintenance & Repair,0,77
2.6.38,Audio & Visual Equipment Services,10,325
2.6.39,Janitorial Equipment Maintenance & Repair,1,12
2.6.41,Business Project Management,43,602
2.6.42,Logistical Services,19,518
2.6.43,Library Cataloguing Services,1,80
2.6.45,Interior & Office Design Services,16,143
2.6.46,Rescue and Emergency Medical Services,17,162
2.6.47,Bill Payments,18,488
