Product_Code,Product_code_Title,Supplier_Count,Number_of_Searches
3.8.1,Industrial Hot Water Boilers,25,709
3.8.3,Boiler Ancillary Equipment,64,931
3.8.4,Generators - Power Station,74,1502
3.8.5,Heat Pumps and Accessories,20,177
3.8.6,Engines & Engine Spares,44,549
3.8.7,Cooling Systems & Spares,37,113
3.8.8,Fuel & Oil Systems & Spares,20,201
3.8.9,Feed Water Systems & Spares,26,493
3.8.10,Turbines & Spares - Steam,26,371
3.8.11,Solid Fuel Supply Systems & Spares,11,54
3.8.12,Liquid Fuel Supply Systems & Spares,16,79
3.8.13,Gas Fuel Supply Systems & Spares,23,364
3.8.14,Ash/Residue Disposal Systems & Spares,14,73
3.8.15,Combustion Air Systems & Spares,22,344
3.8.16,Flue Gas Exhaust Systems & Spares,26,388
3.8.17,Turbines & Spares - Gas,30,425
3.8.18,Power Station Heating & Ventilation Equipment,22,379
3.8.23,Combined Heat & Power (CHP) Plant,45,468
3.8.24,CO2 Capture Plants,4,44
3.8.25,Solar Power Production Equipment,20,687
3.8.26,Ovens,1,34
3.8.28,Heated water boiler,7,102
3.8.29,Multi-fuel firing unit (heated water + heating),0,28
3.8.31,Other motors and motor spare-parts,7,93
3.8.32,Air - coolants,3,39
3.8.33,Double and multi - pipe heat exchange units,7,75
3.8.34,Carcass and steel pipes heat exchange units,3,142
3.8.35,Plaque heat exchange units,4,49
3.8.36,Other heat exchange units,10,95
3.8.37,Heat exchange unit coverings,1,47
3.8.38,Fuel-gas heaters,9,35
3.8.39,Refractory material,4,18
3.8.40,Gasholders,4,286
3.8.41,Grinding mill,1,18
3.8.42,Bucket - wheels,0,15
3.8.43,Vibrator screen,2,25
3.8.44,"Fan blowers, blowers, aspirators and gas circulators",7,197
3.8.97,Flue gas boiler,8,200
3.8.98,Other Boilers & Boiler Spares,22,162
3.9.19,Wind Power Production Equipment,48,960
3.9.20,Hydro-Electric Power Production Plant,24,226
3.9.21,Bio Energy Production Equipment,25,68
3.9.22,Wave Motion Power Production Equipment,7,20
3.9.24,Solar Power Production Plant,34,582
3.9.25,Wave Motion Power Plants,3,43
3.9.26,Osmotic Power Plant / Salt Power Plant,6,106
3.9.28,Hydraulic turbine generators,4,30
3.9.29,Fuel cells,7,62
3.10.1,Nuclear Gas Reactor & Core,6,458
3.10.2,Nuclear Fuel Assembly,4,402
3.10.3,Nuclear Gas Baffle,1,405
3.10.4,Nuclear Gas Diagrid & Support Skirt,1,372
3.10.5,Nuclear Shielding,6,508
3.10.6,Nuclear Pressure Vessel & Liner,8,397
3.10.7,Nuclear Gas Circulators,2,315
3.10.8,Nuclear Control Rod & Assembly,1,321
3.10.9,Nuclear Reactor Pumps,1,302
3.10.10,Nuclear Fuel Route Equipment,10,341
3.10.11,Nuclear In-Service Inspection Equipment,12,256
3.10.12,Nuclear Island Control & Instrumentation Systems & Spares,25,390
3.10.13,Nuclear Reactor Protection Systems & Spares,16,266
3.10.14,Radioactive Waste Handling & Reprocessing Equipment,30,1116
3.10.15,"Nuclear Primary Circuit Pipework, Valves & Penetrations",12,266
3.10.16,Nuclear Sampling Systems,10,351
3.10.18,Nuclear Containment & Ventilation Systems,16,789
3.10.19,Dosimetry Equipment & Control Systems,11,512
3.10.21,Nuclear Fuel Storage Racks & Equipment,7,166
3.10.22,Nuclear Robotics/Remote Operations Equipment,15,149
3.10.23,Nuclear Fuel,2,132
3.10.24,PWR Pressure Vessel & Internals,7,160
3.10.25,PWR Pressuriser & Pressure Control Systems,6,96
3.10.26,PWR Steam Generator Plant,6,91
3.10.27,PWR Chemical & Volume Control/Reactor Make-up Systems,1,116
3.10.28,PWR Emergency Boration & Charging Systems,1,74
3.10.29,Nuclear Power Plants,9,223
3.10.99,Other Nuclear & Reactor Plant & Equipment,27,206
3.12.1,Switchgear - Indoor (Below 1kV),56,944
3.12.3,Switchgear - Indoor (20kV to 99kV),32,1626
3.12.4,Switchgear - Indoor (100kV to 199kV),19,684
3.12.6,Switchgear - Outdoor (Below 1kV),27,567
3.12.7,Switchgear - Outdoor (1kV to 19kV),36,1329
3.12.9,Switchgear - Outdoor (100kV to 199kV),19,735
3.12.10,Switchgear - Outdoor (200kV & Above),18,1397
3.12.11,Switchgear - Multi Motor,34,429
3.12.12,Switchgear - Power Factor Correction,35,384
3.12.14,Switchgear - Direct Current (DC),23,784
3.12.15,Switchgear Parts & Accessories,39,428
3.12.16,Circuit Breakers,55,1895
3.12.17,Disconnectors,35,1226
3.12.18,Distribution disconnectors,17,479
3.12.19,High voltage disconnectors,19,645
3.12.20,High voltage indoor switches,8,184
3.12.21,High voltage outdoor switches,11,316
3.12.23,"Outdoor high-voltage switchgear: limiting reactances, impedances",4,120
3.12.24,Outdoor high-voltage switchgear: Non - harmonic filters,4,125
3.12.99,Other Switchgear,32,319
3.13.1,Water Meters,36,1512
3.13.3,Electricity Meters,29,1056
3.13.4,District Heating and Cooling Meters,23,182
3.13.6,Electrical Metering Control Devices,15,379
3.13.7,Meter Accessories & Spares,44,1207
3.13.8,Meter Tokens & Cards,8,429
3.13.11,Turbine gas meter,8,445
3.13.12,Electrical Meters - Power Station/Grid,23,225
3.13.13,Gas Meters - Credit,32,1045
3.13.14,Gas Meters - Prepayment,12,689
3.13.16,"Governors, Regulators & Associated Equipment",37,1501
3.13.18,Prewired Meter Cabinets,20,324
3.13.19,Meter Cabinets & Housings,58,1106
3.13.99,Other Meters & Associated Equipment,47,1124
3.14.2,Submersible Pumps,115,3756
3.14.3,Positive Displacement Pumps,58,1514
3.14.5,Split Case Pumps,35,1997
3.14.6,Double Disk Pumps,11,696
3.14.9,Washwater Pump Sets,49,1658
3.14.10,Metering & Dosing Pumps,56,1755
3.14.11,Borehole Pumps,53,1463
3.14.12,Macerator Pumps,44,938
3.14.13,Peristaltic Pumps,22,886
3.14.14,Portable Pumps,45,970
3.14.16,Screw Pumps,26,650
3.14.17,Axial Pumps,29,942
3.14.19,Progressing Cavity Pumps,30,1287
3.14.20,Dry well pumps,23,1422
3.14.21,NLG pumps,3,433
3.14.22,LPG pumps,3,430
3.14.23,Fire - damper pumps,4,435
3.14.24,Special effect pumps,2,411
3.14.25,High speed pumps,3,518
3.14.26,Gear type pumps,8,407
3.14.27,Acid pumps,10,457
3.14.28,Encapsulated pumps,3,406
3.14.29,Magnetic pumps,5,401
3.14.30,Shaft pumps,8,1157
3.14.99,"Other Pumps, Accessories & Spares",86,1457
3.15.3,Pipes & Fittings - Ductile Iron,41,2623
3.15.4,Pipes & Fittings - Copper,29,1458
3.15.5,Pipes & Fittings - Clay,9,652
3.15.6,Pipes & Fittings - High Density Polyethylene (HDPE),49,3185
3.15.7,Pipes & Fittings - Medium Density Polyethylene (MDPE),44,2909
3.15.8,Pipes & Fittings - MOPVC,14,804
3.15.9,Pipes & Fittings - PVC,43,1033
3.15.10,Pipes & Fittings - Steel,109,2799
3.15.12,Pipe Fittings - Couplings & Flanged Adapters,56,3155
3.15.13,Pipe Fittings - Electrofusion Fittings,27,1996
3.15.14,Pipe Fittings - Gunmetal,18,1194
3.15.15,Pipe Fittings - Plastic,28,1866
3.15.16,Pipes & Fittings - Stainless Steel,63,1682
3.15.17,Ducting,44,1358
3.15.18,Water Flange Joint Sets,28,997
3.15.19,"Pipe Accessories, Consumables & Associated Supplies",38,1007
3.15.20,Surface Boxes & Chambers,38,2336
3.15.21,Conduit pipe,5,226
3.15.22,PVC pipe for electric line,3,437
3.15.23,Polyethylene pipes for cable guiding,7,435
3.15.25,"Leak Detection, Control & Repair Equipment/Materials",75,2025
3.15.26,Pipes & Fittings - GRP,16,558
3.15.27,Standpipes,10,638
3.15.28,Pipes and accessories of polypropylene (PP),7,410
3.15.30,Finned tubes,5,290
3.15.31,"Accessories for gas loading, locking and blowdown ('way-tees' and others)",0,301
3.15.32,Stem ports and transitions for gas distribution,0,444
3.15.33,Expansion joints,9,397
3.15.34,Heat - shrink joints,3,685
3.15.35,Pasteboard joints,0,274
3.15.36,"Spiral - metal, laminated metal foil gaskets and metal joints",11,317
3.15.37,"Blanking disk, figure - eight figures and drop - rings",3,383
3.15.38,Filters for gases,12,561
3.15.39,Self-clean reduction filters,2,424
3.15.40,Protegol pipe coatings,2,279
3.15.41,Concrete pipe coatings,7,277
3.15.42,Polyethylene pipe coatings,4,355
3.15.43,Bands and blankets for pipe coating (incl. Thermocontractables),1,265
3.15.44,Other pipe coating,11,297
3.15.45,Cathode - protection systems,7,456
3.15.46,Scrapers and scraper - traps,7,320
3.15.47,Flow correctors,2,300
3.15.48,Steam traps,6,259
3.15.49,Separators and lockers,3,355
3.15.50,Pipe compensators,4,353
3.15.51,Work - holding devices and supports,2,263
3.15.53,Air - circulation and climatisation ducts and accessories,0,244
3.15.56,"Accessories of copper, brass, nickel, aluminium, titanium and other alloys",5,426
3.15.57,Thermal insulator pipes,4,247
3.15.58,Threaded pipes for well casing,2,255
3.15.59,District heating pipes,7,230
3.15.99,Other Pipes,20,253
3.16.1,Air Valves,55,2815
3.16.4,Non-Return/Reflux/Check Valves,81,2317
3.16.5,Penstock Valves,40,1267
3.16.7,Needle/Globe Valves,51,816
3.16.9,Butterfly Valves,72,1664
3.16.11,Diaphragm valves and pressure regulators valves,39,1124
3.16.12,Pressure Control Valves,70,2292
3.16.15,Solenoid Valves,34,538
3.16.16,Safety Valves,58,962
3.16.17,Actuators,79,1372
3.16.18,Float Operated Valves,20,499
3.16.19,Plug Valves,29,1130
3.16.20,Containment Valves,4,508
3.16.21,Well heads,6,390
3.16.22,Self - regulating valves of pressure / rate - flow,16,517
3.16.23,Gas pressure regulators (up to 100Nm3/h),13,867
3.16.24,Gas pressure regulators (of more than 100Nm3/h),12,799
3.16.25,Low pressure valves,9,610
3.16.26,Alylation service valves,2,341
3.16.27,Pneumatic transport valves,4,344
3.16.28,Meter or consumer valves,6,871
3.16.29,Consumer gas regulation valves,6,660
3.16.30,Control valves,39,1068
3.16.31,Desuperheating steam valves (attemperators),5,293
3.16.32,Instrumentation valves / manifolds,8,375
3.16.33,Purge valves,4,325
3.16.35,Cocks,4,506
3.16.36,Valves for production heads (X'Mas Tree),4,293
3.16.38,Forged valves,14,314
3.16.99,"Other Valves, Actuators & Spares",75,848
3.18.1,Aluminium Sulphate,8,1587
3.18.2,Activated Carbon,21,1543
3.18.3,Calcium-based Chemicals,12,1519
3.18.4,Chlorine,7,1403
3.18.5,Ferrous-based Chemicals (Iron),13,1281
3.18.7,Hydrogen Peroxide,12,503
3.18.8,Acids,14,1579
3.18.9,Poly Aluminium Chloride,11,1515
3.18.12,Sodium-based Chemicals,29,1490
3.18.18,Polyelectrolytes,11,1229
3.18.19,Trichloroethane,0,204
3.18.22,Reagents/Buffer Solutions,10,264
3.18.24,Ammonium Sulphate,3,355
3.18.27,Hydrazine Hydrate,1,222
3.18.35,Molten Sulphur,1,184
3.18.36,Odourant - Mains Gas,2,889
3.18.37,"Odorizer for fuel gas (THT, mercaptane)",2,158
3.18.38,Nitrogen oxide,0,180
3.18.40,Methanol,5,340
3.18.41,Potassium permanganate,5,204
3.18.42,Ceramic balls,1,155
3.18.43,Resins,5,215
3.18.44,Alcohols,1,153
3.18.45,Catalyzers,0,138
3.18.46,"Agrochemicals, fertilizers, herbicides, biocides, fungicides",5,218
3.18.47,Chemical products of general application in the water sector,29,1004
3.18.48,Chemical products (non solvents) for the petrochemistry industry,5,200
3.18.49,"Chemical products for perforation (bentonite, retardant, etc.)",0,167
3.18.50,Ferric nitrate,1,191
3.18.51,Aluminium Chloride,3,463
3.18.99,Other Chemicals,26,1062
3.19.1,Digestors - Sewage & Sludge,53,1428
3.19.2,Macerators,23,587
3.19.3,Odour Control Equipment,58,700
3.19.5,Waste Water Scrapers,34,741
3.19.6,Screens & Associated Equipment,66,1162
3.19.7,Disinfection Equipment,67,1029
3.19.8,Dosing Plant,88,2274
3.19.9,Sulphinators,2,210
3.19.12,Comminutor (Pulverization) Equipment,6,180
3.19.13,Detritor (Grit Removal) Equipment,28,342
3.19.14,Classifier Equipment,19,200
3.19.15,Aeration Equipment,54,532
3.19.16,Surge Suppression Equipment,10,311
3.19.17,Potable water treatment equipment,65,2172
3.19.18,Waste water treatment equipment,125,2557
3.19.19,Treatment sea water equipment,13,108
3.19.99,Other Water/Waste Water Treatment Plant & Equipment,166,2262
3.20.1,Compressor Station/Aero Engines & Spares,3,369
3.20.2,Compressor Station Plant & Spares,10,394
3.20.3,Compressor Station Consumables,5,322
3.20.4,Compressor Station Fire & Gas Equipment,8,332
3.20.5,Compressor Station Safety & Test Equipment,3,269
3.20.7,Gas Holder Antifreeze Units,2,182
3.20.8,Odorisation Equipment,7,292
3.20.9,Water Bath Heaters,14,485
3.20.10,Fogger/Gas Conditioning Units,5,283
3.20.11,Integrated Gas Analytical Systems,11,326
3.20.12,Gas Storage Plant & Equipment,18,506
3.20.99,Other Gas Transmission/Distribution Plant & Equipment,30,564
3.21.1,Bearings & Transmission Products,45,1348
3.21.2,Mechanical Seals & Gaskets,63,1504
3.21.3,"Blowers, Exhausters & Fans",43,799
3.21.5,Tanks & Covers,91,1265
3.21.7,Filters,50,1143
3.21.17,Centrifugal compressors,10,421
3.21.18,Rotary compressors,13,247
3.21.19,Reciprocating compressors,14,449
3.21.20,Gas and boil - off compressors,6,193
3.21.21,Turbocompressors,8,253
3.21.24,Oil & Gas Powered Motors,7,168
3.21.35,Centrifuges,22,762
3.21.40,Rubber Hoses & Couplings,39,283
3.21.42,Overhead Gantries & Walkways,41,102
3.21.43,Gas & Air Treatment Plant,24,497
3.21.44,Lubrication Equipment,18,258
3.21.45,Skid Units/Pressure Reduction Modules,29,1793
3.21.46,Bulk Packaging Equipment,0,87
3.21.47,Hydraulic Power Packages,50,206
3.21.49,Mining extraction machinery,2,82
3.21.50,Silencers,0,90
3.21.60,Physical lock and packing,0,80
3.21.61,Heavy - thickness reactors (Hydrocra. and Isomax),0,76
3.21.62,Petrochemical unit reactors,0,84
3.21.63,"Cooling tower fillings, pans and trays",3,72
3.21.64,Anti - hammering,0,68
3.21.65,Oleo - hydraulic unit,2,66
3.21.66,Rotary joint,1,74
3.21.67,Charge chute,0,84
3.21.68,Charge bellows,2,9
3.21.69,Drying equipment,7,108
3.21.99,"Other Mechanical Machinery, Equipment & Spares",89,408
3.22.1,Mining rotary joints and spares,4,136
3.22.2,"Mining Sprockets, Sprocket corners, spares",1,133
3.22.3,"Mining Turning Workpieces, Swing Bearing and parts",1,125
3.22.4,Mining pulleys/packets and spares,1,122
3.22.5,Mining unit undercarriages and spares,1,121
3.22.6,Mining Drive Shafts and Spares,2,139
3.22.7,Mining soundproofing packaging and spares,0,114
3.22.8,"Mining Casters, Rollers and Rotors and Spares",3,124
3.22.9,Mining Crawler Track Parts and Spares,3,113
3.22.10,Mining Connection Components,2,70
3.50.3,Laboratory Glassware,3,294
3.50.4,Laboratory Plasticware,1,371
3.50.5,Laboratory Consumables,6,526
3.50.6,Laboratory Animals,0,106
3.50.7,Animal Support Products & Equipment,0,127
3.50.8,Laboratory Chemicals,13,384
3.50.9,Laboratory Gases,5,259
3.50.12,Laboratory Rubberware,1,200
3.50.13,Laboratory Paperware,0,177
3.50.14,Laboratory Media,0,169
3.50.15,Enzymes & Associated Products,0,136
3.50.16,Oligonucleotides,0,139
3.50.17,Antibodies,0,129
3.50.18,Tissue Culture,0,116
3.50.19,Laboratory Hand/Power Tools,2,207
3.50.20,Laboratory Testing Tools,6,199
3.50.30,Mobile laboratories,4,156
3.50.98,Other Laboratory Equipment & Supplies,11,194
3.51.2,Medication,0,16
3.51.3,Medication Ingredients & Raw Materials,0,21
3.51.4,"Medical, Surgical & Nursing Supplies",1,54
3.51.5,"Medical, Surgical & Nursing Equipment",0,39
3.51.99,Other Medical Equipment & Supplies,2,56
3.52.2,Educational Equipment,2,14
3.52.3,Educational Supplies,3,5
3.52.4,Furniture - Classroom & Lecture Theatre,7,21
3.52.5,Recreational & Sports Materials & Equipment,1,13
3.52.6,Musical Instruments & Equipment,0,7
3.52.7,Other Library Equipment,1,5
3.52.98,Other Education Supplies,1,
3.52.99,Other Education Equipment,2,
3.53.1,Car Wash,1,2
3.53.2,Other Equipment & Accessories for Cleaning Vehicles,1,1
3.53.3,Shelters & Accessories,4,286
3.53.4,Pumps & Accessories,11,505
3.53.5,Tanks & Accessories,11,303
3.53.6,"General Products for Sale in Shop (foodstuffs, tobacco etc)",0,279
3.53.7,"Specific Products for Sale in Shop (lubricants, coolants etc)",0,285
3.53.99,Other Equipment & Supplies for Service Stations,3,
3.54.1,Marine Construction Materials,38,339
3.54.2,Marine Dismantling Products,8,303
3.54.3,Marine Identification Products,5,276
3.54.5,Stabilisation Products,6,283
3.54.6,Positioning Products,5,281
3.54.7,Mooring & Anchoring Products & Machinery,16,293
3.54.8,Towing Products,11,279
3.54.9,Fenders,13,275
3.54.10,Buoys,10,330
3.54.11,Cargo Securing & Protection & Handling Products,9,267
3.54.12,Marine Dredging Equipment,18,14
3.54.13,"Cable Handling, Storing & Laying Equipment",11,282
3.54.14,Marine Fishing Equipment,1,284
3.54.15,Marine Propellers,2,262
3.54.16,Marine Thrusters,3,266
3.54.17,Water Jets,2,283
3.54.18,Pods,3,259
3.54.20,Electronic Marine Navigation Equipment,7,298
3.54.21,Sound Signal Marine Equipment,4,285
3.54.22,Atmosphere Regeneration Equipment,2,256
3.54.23,Cargo Space Cleaning Equipment,2,255
3.54.24,Offshore Equipment,40,280
3.54.26,Special Transport Equipment,8,256
3.54.27,Rescue Craft,12,252
3.54.28,Marine Cathode Protections Systems,6,251
3.54.29,"Marine Furniture, Finishings & Fixtures",2,250
3.54.30,Marine Medical & Sanitary Equipment,2,249
3.54.31,"Marine Kitchen, Office & Catering Equipment",2,250
3.54.32,Marine Laundry Equipment,4,253
3.54.33,Marine Food Store Equipment,3,246
3.54.34,Marine Waste Treatment Equipment,3,245
3.54.35,Marine Leisure Equipment,4,244
3.54.36,Marine Entertainment Equipment,2,245
3.54.37,Manhole and hatch joints,4,268
3.54.38,Arms and armaments equipment,1,242
3.54.99,Other Marine Equipment,23,24
3.55.1,Burners & Torches,5,392
3.55.2,Incinerators,2,266
3.55.4,Cooling Towers,6,248
3.55.5,Mesh Separator (Demisters),2,236
3.55.6,Ejectors,1,235
3.55.7,Vaporizers,0,234
3.55.8,Cracking - Ovens & Hydrogen Ovens,0,233
3.55.9,Refinery unit reactors,1,257
3.55.99,Other Refinery Equipment,7,24
4.1.1,Pumping Station - Clean Water,313,6578
4.1.3,Treatment Works - Waste Water,419,5756
4.1.4,Treatment Works - Clean Water,332,7999
4.1.5,Water Tower and Tank,151,3219
4.1.6,Reservoir/Dam/Weir/Lock,229,5744
4.1.8,Gas Storage Leaching,20,971
4.1.9,Maintenance and inspection of pressure containers,22,1020
4.1.10,Sign and corporate image installation service,12,477
4.1.11,Ground and excavation works,261,6041
4.1.18,Demolition & Clearance Work,245,6286
4.1.24,Landscaping Services,275,3301
4.1.25,Foundation Services,181,1550
4.1.28,Sector Specific Security Equipment Installation & Maintenance,80,2103
4.1.30,Construction of waste disposal site,28,391
4.1.33,Modular Structures,76,1710
4.1.34,Construction of cogeneration plants for immediate occupation,7,359
4.1.36,Flood Defence Construction,202,2994
4.1.38,Airport Construction,72,539
4.1.40,Harbour & Marine Engineering Works,182,2538
4.1.41,Land Reclamation Works & Services,84,804
4.1.43,Gas Transmission System Plant Construction,62,2190
4.1.44,Gas Transmission System Plant Repairs & Upgrades,35,1539
4.1.45,Sector Specific Minor Civil Works,458,5319
4.1.46,Bridge Construction,131,362
4.1.47,Off-shore Structures,62,319
4.1.48,Gas Drying Plant,15,460
4.1.49,Gas Storage Plant Site Services,35,1462
4.1.50,Bridge Maintenance,117,1049
4.1.51,Sewage/Sludge Disposal Services,151,1968
4.1.53,Ground Work / Levelling Works,179,2112
4.1.54,Cable and Pipeline Trenches Construction Work,147,2076
4.1.56,Drainage & Culvert Services,178,1225
4.1.57,Drainage maintenance and repair services,142,1400
4.1.58,Remote Visual Inspection & Measurement Services,66,902
4.1.59,Steeplejacking Services,10,309
4.1.60,Rope Access and Abseiling Services,106,581
4.1.61,"Well-drilling works (test drilling, wells, etc.)",12,302
4.1.62,Naval fitting-out,1,226
4.1.70,Mining related services,18,250
4.1.71,Construction of service stations,12,290
4.1.72,Aqueduct works,23,292
4.1.74,Construction of pumping stations (excl. water),44,337
4.1.75,Electrical assembly (including electromechanical assembly),29,458
4.1.77,Construction and assembly of furnaces,5,212
4.1.78,Construction and assembly of silos,14,296
4.1.79,Chimney assembly,5,230
4.1.80,Assembly and maintenance of meteorological towers,4,221
4.1.81,Expert management and supervision of works,35,457
4.1.82,Gas and flame detection installation services (including those specific to the naval sector),7,442
4.1.83,Water sprinkler installations (including those specific to the naval sector),3,199
4.1.84,Dry chemical dust installations (including those specific to the naval sector),1,209
4.1.85,Foam installations (including those specific to the naval sector),4,195
4.1.86,CO/gas installations (including those specific to the naval sector),5,264
4.1.87,Other safety installations (including those specific to the naval sector),4,194
4.1.88,Fireproofing assemble services,4,199
4.1.89,Traffic lights installation and maintenance,29,503
4.1.90,"Energy, industrial, chemical and petrochemical installations projects",71,459
4.1.99,"Other Sector Specific Building, Civil Engineering & Associated Services",196,1940
4.2.16,Subsea Cable Services,111,2375
4.2.17,Underground Telecommunication Cable Laying,159,2351
4.2.19,Underground Cable Laying - Below 1kV,207,5894
4.2.20,Underground Cable Laying - 1kV to 19kV,261,10623
4.2.21,Underground Cable Laying - 20kV to 99kV,212,10561
4.2.22,Underground Cable Laying - 100kV to 199kV,128,7650
4.2.24,Underground Cable Jointing - Below 1kV,133,5031
4.2.25,Underground Cable Jointing - 1kV to 19kV,156,7082
4.2.26,Underground Cable Jointing - 20kV to 99kV,136,7564
4.2.27,Underground Cable Jointing - 100kV to 199kV,87,5388
4.2.28,Underground Cable Jointing - 200kV & Above,65,3067
4.2.30,Underground Cable Maintenance & Repair - 1kV to 19kV,116,4500
4.2.31,Underground Cable Maintenance & Repair - 20kV to 99kV,99,3904
4.2.32,Underground Cable Maintenance & Repair - 100kV to 199kV,68,2259
4.2.33,Underground Cable Maintenance & Repair - 200kV & Above,59,1561
4.2.34,Multi-Utility Cable & Pipe Laying,206,2389
4.2.35,Trenchless Cable Laying,147,3489
4.2.36,Street Lighting Connection,111,2369
4.2.37,Fibre Optic Cable Laying,147,2305
4.2.99,Other Underground Cable Services,159,2903
4.3.1,Water Service Pipe Laying,241,6670
4.3.2,Water Mains Pipe Laying,283,8830
4.3.4,Marine/River Outfall,132,1114
4.3.5,Water Service Pipe Maintenance & Repair,169,5714
4.3.6,Water Mains Pipe Maintenance & Repair,187,5713
4.3.7,Sewer Pipe Maintenance & Repair,208,3155
4.3.9,Pipe Surveying Services,202,3087
4.3.10,Trenchless Pipe Laying,217,5843
4.3.11,Borehole & Well Drilling,86,1659
4.3.13,Pipework Fabrication & Installation,264,3019
4.3.15,Transmission Pipeline Services,92,1956
4.3.18,Heating and Cooling Pipe Services,47,279
4.3.19,"Flexible Structures, Waterproof Lining Services",18,349
4.3.20,Pipeline CCTV/Inspection Services,215,2863
4.3.21,Pipe Coating / Lining Services,107,2279
4.3.22,Sewer Jetting Services,140,2105
4.3.23,Gas Service Pipe Laying,164,5165
4.3.24,Gas Mains Pipe Laying,191,6186
4.3.25,Gas Service Pipe Maintenance & Repair,120,4257
4.3.26,Gas Mains Pipe Maintenance & Repair,136,4797
4.3.27,Sub-sea Pipe Laying,18,239
4.3.97,Other Gas Pipe Services,110,1387
4.3.98,Other Water Pipe Services,119,1024
4.3.99,Other Pipe Services,131,1075
4.4.1,Boiler Services,92,806
4.4.2,Engine Services,33,343
4.4.3,Feed System Services,23,128
4.4.4,Gas Turbine Services,58,867
4.4.5,Generator Services,107,1875
4.4.10,Generation Operation & Maintenance Services,49,342
4.4.11,Energy Supply Plant Installation & Operation Services,82,437
4.4.12,Power Station - Combined Heat & Power Gas Turbine (CHP),99,378
4.4.13,Power Station - Combined Cycle Gas Turbine (CCGT),85,100
4.4.16,Cooling Water System Services,90,269
4.4.17,Bulk Storage Services,32,59
4.4.19,Ash/Residue Disposal System Services,31,45
4.4.20,Combustion Air System Services,16,104
4.4.21,Flue Gas Exhaust System Services,39,34
4.4.22,Power Station Heating & Ventilation Services,28,145
4.4.23,Wind Farm Construction,237,510
4.4.24,Wind Power Plant Services,157,732
4.4.25,Hydro-Electric Power Plant Construction,33,450
4.4.26,Hydro-Electric Power Plant Services,70,547
4.4.27,Power Station - Conventional Thermal Power Plants,53,128
4.4.28,Steam Turbine Services,36,802
4.4.29,Rotating Electrical Machine Services,15,76
4.4.30,Construction and assembling of installations for the exploitation of renewable energies,70,293
4.4.31,Microgeneration Services,19,88
4.4.99,Other Generation Services,56,91
4.5.2,Substation Building Civil Services,319,11420
4.5.3,Protection & Control System Services,154,4430
4.5.5,Switchgear Services,183,6182
4.5.7,Substation Cabling Services,168,3338
4.5.8,Substation Plant Dismantling & Removal,135,3191
4.5.9,Substation Fire Protection Services,66,1850
4.5.10,Substation Plant Painting Services,100,1625
4.5.11,Substation Design - Transmission,104,2041
4.5.12,Substation Construction - Transmission,131,1764
4.5.13,Substation Design & Construction - Transmission,119,2062
4.5.14,Substation Turnkey - Transmission,88,1818
4.5.15,Substation Design - Distribution,131,2094
4.5.16,Substation Construction - Distribution,169,3398
4.5.17,Substation Design & Construction - Distribution,139,2324
4.5.19,Substation General Maintenance,232,3860
4.5.20,Substation and Transformation Centers projects,68,433
4.5.99,Other Substation Services,195,3229
4.6.1,Technical Consultancy,334,8030
4.6.2,Planning Consultancy,167,5243
4.6.3,Electrical Consultancy - 11kV & Below,160,3970
4.6.4,Electrical Consultancy - 20kV to 99kV,126,3854
4.6.5,Electrical Consultancy - 100kV to 199kV,109,3697
4.6.6,Electrical Consultancy - 200kV & Above,99,3522
4.6.7,Mechanical Consultancy,129,4159
4.6.8,Structural Consultancy,156,4155
4.6.9,Cathodic Protection Consultancy,53,1069
4.6.10,Hydrology & Hydrogeology Consultancy,89,3960
4.6.11,Process Consultancy,80,2679
4.6.12,Tunnels Consultancy,53,722
4.6.13,Dams Consultancy,27,223
4.6.15,Topographical Consultancy,91,1374
4.6.17,Scientific Consultancy,115,1479
4.6.18,Surveying Services (excl. Overhead Line & Pipeline Surveying),322,5531
4.6.19,Archaeological Consultancy & Surveys,60,2449
4.6.20,Control & Instrumentation Consultancy,151,3922
4.6.21,Architectural Services,66,2260
4.6.22,Civil Engineering Consultancy,159,5351
4.6.23,Environmental Impact Surveys,184,4699
4.6.24,Hydraulic Modelling Consultancy,82,816
4.6.25,Pipeline Consultancy,94,2347
4.6.26,Project Management Consultancy,289,4887
4.6.27,Geotechnical Site Investigation Services,140,2652
4.6.28,Cartography Services (incl. Section 105),126,2709
4.6.29,Airfield Consultancy,26,941
4.6.30,Fire Consultancy,38,438
4.6.31,Flood Defence Consultancy,66,312
4.6.33,Port Planning Services,24,123
4.6.34,Gas Network Consultancy & Services,98,1735
4.6.35,Railway Consultancy,31,31
4.6.36,Safety Consultancy,81,1024
4.6.37,Fisheries Consultancy,32,1888
4.6.38,Integrated Design Team Services,110,2169
4.6.39,Technical Drafting including CAD Services,115,1755
4.6.40,Material Technology and Calculation Services,15,114
4.6.41,HVAC Consultancy Services,74,178
4.6.42,Water and Outlet/Sewage Consultancy,75,1270
4.6.43,Nuclear and Reactor Consultancy,13,126
4.6.44,Consequence Analysis Consultancy,23,215
4.6.46,Civil works and engineering services,95,2579
4.6.47,Consulting for oilfield engineering,19,30
4.6.48,Modelling consultancy services,63,1440
4.6.49,Architectonic consultancy,0,174
4.6.50,Tree Surveys,83,651
4.6.99,Other Sector Specific Consultancy,195,924
4.7.1,Health Physics Services,14,347
